comparison,subject,trial,muscle,muscle_label,rmse_m,nrmse_pct_of_base_rom,corr,peak_delta_m,min_delta_m,rom_delta_pct
scaled_vs_unscaled,S146,S146_G03_D01_B01_T01,soleus_r,Soleus,0.005359786058447528,24.88757309760115,0.9999978328414875,-0.004122276708873163,-0.00760553363618699,16.174117856741155
scaled_vs_unscaled,S146,S146_G03_D01_B01_T01,med_gas_r,Med. gastrocnemius,0.009603024967863262,49.00228912738103,0.9999321216787368,-0.008408010475546734,-0.011484298387022862,15.69767340829503
scaled_vs_unscaled,S146,S146_G03_D01_B01_T01,semimem_r,Semimembranosus,0.0624668983704261,148.93899207350967,0.9995780581258049,0.061374142126905507,0.06361012097761803,-5.331214531382484
scaled_vs_unscaled,S146,S146_G03_D01_B01_T01,semiten_r,Semitendinosus,0.0606176775144432,121.95492999536349,0.9995501513126697,0.059250599153656325,0.06193945988594002,-5.409640154801494
scaled_vs_unscaled,S146,S146_G03_D01_B01_T01,bifemlh_r,Biceps femoris LH,0.06177999192933705,118.7832515009992,0.9998127672374711,0.06069671202196103,0.0629148220388272,-4.264719236151043
scaled_vs_unscaled,S146,S146_G03_D01_B01_T01,bifemsh_r,Biceps femoris SH,0.027449930378629923,439.30557948574994,0.9997533112232153,0.027359812812197404,0.027577239003852783,-3.479664166831789
scaled_vs_unscaled,S146,S146_G03_D01_B01_T02,glut_med1_r,Glut. medius,0.002569850166731591,9.284122605203013,0.9999963285567004,0.003631059633624867,0.0005919914199954829,10.97927119104973
scaled_vs_unscaled,S146,S146_G03_D01_B01_T02,rect_fem_r,Rect. femoris,0.06409505442651645,82.96291854140613,0.9999930528591303,0.06295305053599598,0.06526683979903114,-2.99490673451635
scaled_vs_unscaled,S146,S146_G03_D01_B01_T02,vas_lat_r,Vast. lateralis,0.035209824694081286,67.11314109598938,0.9995304985126776,0.03446932938901237,0.03829644637075383,-7.294834445161196
scaled_vs_unscaled,S146,S146_G03_D01_B01_T02,tib_ant_r,Tib. anterior,0.002713201444832018,13.316686296093419,0.9999810718388334,0.0026609337371419906,0.002847607983533007,-0.916217401949203
scaled_vs_unscaled,S146,S146_G03_D01_B01_T02,soleus_r,Soleus,0.005326395959728692,23.790830206350044,0.9999977149090947,-0.004021342040488818,-0.007638953671338877,16.158390159648352
scaled_vs_unscaled,S146,S146_G03_D01_B01_T02,med_gas_r,Med. gastrocnemius,0.009549122647006818,47.31956809180331,0.9999373605979974,-0.008293888528712934,-0.011462030772707354,15.699360892197104
scaled_vs_unscaled,S146,S146_G03_D01_B01_T02,semimem_r,Semimembranosus,0.06247985625710487,150.0801830373291,0.9995663090197799,0.06141548450920725,0.06363385201656457,-5.328645446593693
scaled_vs_unscaled,S146,S146_G03_D01_B01_T02,semiten_r,Semitendinosus,0.06063167800322103,123.5678266407082,0.9995324483649454,0.05924480343270555,0.061962419020607784,-5.53852149406371
scaled_vs_unscaled,S146,S146_G03_D01_B01_T02,bifemlh_r,Biceps femoris LH,0.06179777696844112,119.79868044034345,0.9998000325124158,0.06068137537988871,0.0629372114860523,-4.373072981995611
scaled_vs_unscaled,S146,S146_G03_D01_B01_T02,bifemsh_r,Biceps femoris SH,0.027449907565261673,426.6492102886507,0.9997435470647711,0.027362541409735264,0.02758290407615971,-3.4250591694549715
scaled_vs_unscaled,S146,S146_G03_D01_B01_T03,glut_med1_r,Glut. medius,0.0024359850857587745,7.93584240251889,0.9999952177749754,0.0035755636762436205,0.00014336705995854349,11.181255419227217
scaled_vs_unscaled,S146,S146_G03_D01_B01_T03,rect_fem_r,Rect. femoris,0.06404123115648888,83.9948033096884,0.9999914376676605,0.06295182095673546,0.0652347302937622,-2.9942041599552085
scaled_vs_unscaled,S146,S146_G03_D01_B01_T03,vas_lat_r,Vast. lateralis,0.03515862218548667,65.34191034715299,0.999498536597976,0.03454817492822687,0.038248965855618905,-6.877878994104279
scaled_vs_unscaled,S146,S146_G03_D01_B01_T03,tib_ant_r,Tib. anterior,0.002700806474923055,13.195041320122689,0.9999828271798321,0.002671077373382902,0.002816822794278584,-0.7120528141476656
scaled_vs_unscaled,S146,S146_G03_D01_B01_T03,soleus_r,Soleus,0.005501414279405459,24.117557031088833,0.9999976088744708,-0.004171406912612863,-0.007877712338011378,16.248009681129258
scaled_vs_unscaled,S146,S146_G03_D01_B01_T03,med_gas_r,Med. gastrocnemius,0.00977601884706031,48.74923974392963,0.9999334507722771,-0.008589481599904303,-0.01175115109749314,15.766027739950092
scaled_vs_unscaled,S146,S146_G03_D01_B01_T03,semimem_r,Semimembranosus,0.06255435737693386,155.11986853326206,0.9995462191969536,0.061464815185881594,0.06367292810785186,-5.475592756851259
scaled_vs_unscaled,S146,S146_G03_D01_B01_T03,semiten_r,Semitendinosus,0.060713912982522926,129.61515493817558,0.9995078741809273,0.059375804411276545,0.0619747718729845,-5.54840816017778
scaled_vs_unscaled,S146,S146_G03_D01_B01_T03,bifemlh_r,Biceps femoris LH,0.06184570822924021,125.13451430157956,0.9997786296137181,0.06076489629715681,0.06288508773322138,-4.289855079270833
scaled_vs_unscaled,S146,S146_G03_D01_B01_T03,bifemsh_r,Biceps femoris SH,0.02746471406294384,381.6415787716326,0.999856865985374,0.027361465883487923,0.027607960847762902,-3.4252214353866437
