subject,task,segment_label,start_s,end_s,velocity_kmh,status,marker_ik,n_frames
elodie,rgs,rgs_stork,351.646,353.146,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/elodie_rgs_rgs_stork_marker_ik_351.65_353.15.mot,151
erna,ng,ng_v0,11.42,12.92,3.05,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_ng_ng_v0_marker_ik_11.42_12.92.mot,151
erna,ng,ng_v1,28.31,29.81,3.57,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_ng_ng_v1_marker_ik_28.31_29.81.mot,151
erna,ng,ng_v2,42.72,44.22,4.06,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_ng_ng_v2_marker_ik_42.72_44.22.mot,151
erna,gwo,gwo_v0,37.67,39.17,3.05,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_gwo_gwo_v0_marker_ik_37.67_39.17.mot,151
erna,gwo,gwo_v1,68.65,70.15,3.56,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_gwo_gwo_v1_marker_ik_68.65_70.15.mot,151
erna,gwo,gwo_v2,98.88,100.38,4.04,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_gwo_gwo_v2_marker_ik_98.88_100.38.mot,151
erna,rd,rd_correct,36.058,37.558,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_rd_rd_correct_marker_ik_36.06_37.56.mot,151
erna,rd,rd_toes,81.005,82.505,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_rd_rd_toes_marker_ik_81.00_82.50.mot,151
erna,rd,rd_supination,126.694,128.19400000000002,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_rd_rd_supination_marker_ik_126.69_128.19.mot,151
